age,delo,delo_std,delo_scaled
0,3.23,0.03,0.0
1,3.23,0.04,0.0
2,3.18,0.03,-0.027999999999999903
3,3.29,0.03,0.03360000000000003
4,3.3,0.03,0.039199999999999915
5,3.26,0.03,0.01679999999999989
6,3.33,0.04,0.05600000000000006
7,3.37,0.04,0.07840000000000008
8,3.42,0.03,0.10639999999999998
9,3.38,0.04,0.08399999999999996
10,3.52,0.04,0.16240000000000004
11,3.6,0.04,0.20720000000000008
12,3.92,0.05,0.3864
13,4.06,0.04,0.4647999999999998
14,4.28,0.03,0.5880000000000002
15,4.49,0.04,0.7056000000000002
16,4.75,0.03,0.8512000000000001
17,4.88,0.04,0.924
18,5.02,0.03,1.0024
19,4.96,0.03,0.9688000000000001
20,4.99,0.04,0.9856000000000003
21,4.91,0.03,0.9408000000000002
22,4.88,0.03,0.924
23,4.86,0.03,0.9128000000000003
24,4.81,0.04,0.8847999999999999
25,4.82,0.02,0.8904000000000003
26,4.67,0.04,0.8064
27,4.75,0.04,0.8512000000000001
28,4.75,0.03,0.8512000000000001
29,4.73,0.03,0.8400000000000003
30,4.62,0.04,0.7784000000000001
31,4.62,0.03,0.7784000000000001
32,4.6,0.03,0.7671999999999999
33,4.58,0.03,0.7560000000000001
34,4.59,0.03,0.7616
35,4.54,0.02,0.7336000000000001
36,4.45,0.03,0.6832000000000001
37,4.46,0.03,0.6888000000000001
38,4.41,0.03,0.6608000000000002
39,4.55,0.03,0.7392
40,4.55,0.03,0.7392
41,4.51,0.05,0.7168
42,4.5,0.03,0.7112
43,4.46,0.04,0.6888000000000001
44,4.48,0.03,0.7000000000000003
45,4.33,0.04,0.6160000000000001
46,4.36,0.05,0.6328000000000003
47,4.38,0.04,0.644
48,4.45,0.04,0.6832000000000001
49,4.46,0.03,0.6888000000000001
50,4.34,0.04,0.6216
51,4.33,0.05,0.6160000000000001
52,4.31,0.04,0.6047999999999999
53,4.44,0.03,0.6776000000000003
54,4.38,0.04,0.644
55,4.31,0.03,0.6047999999999999
56,4.35,0.04,0.6271999999999999
57,4.43,0.04,0.6719999999999999
58,4.49,0.06,0.7056000000000002
59,4.43,0.04,0.6719999999999999
60,4.6,0.04,0.7671999999999999
61,4.51,0.05,0.7168
62,4.6,0.04,0.7671999999999999
63,4.53,0.04,0.7280000000000002
